@asof|2026-09-15
#960387|WORLD OF POWER SPORTS|143445.87|130846.05
950142|SHINKO|1561.84|1129.75
950142|100-PERCENT|1497.12|281.78
950142|SPEEDWERX|944.94|0
950142|SENA|921.90|0
950142|CAMSO|831.75|5183.19
950142|YUASA|561.32|2242.51
950142|SLP|465.97|1695.94
950142|CURT|329.75|1306.87
950142|KLOTZ|138.97|730.10
950142|MAXXIS|158.48|1461.35
950142|SEIZMIK|120.39|1399.98
950142|ODI|104.51|705.75
950142|C&A|69.98|1817.99
950142|SP1|37.76|839.79
950142|STUD BOY|0|1899.62
950142|MBRP|0|1149.57
950142|GBC|0|573.76
950142|BOSS AUDIO|0|538.99
950142|OXBOW GEAR LLC|0|554.10
#2110659|EXPRESS POWERSPORTS|48494.65|57854.55
2110659|FLY RACING|9714.56|11940.00
2110659|FIRE POWER|6342.47|6251.39
2110659|100-PERCENT|4639.27|3629.79
2110659|ALPINESTARS|3781.91|4881.40
2110659|NEW-RAY|2722.39|2804.81
2110659|DUNLOP|2679.16|1228.91
2110659|SEDONA|2665.52|3602.37
2110659|MAXIMA|2024.92|1566.21
2110659|VP RACING|1640.30|733.68
2110659|DBK|1377.93|1874.00
2110659|ODI|1105.24|974.54
2110659|SCORPION EXO|604.32|0
2110659|ALL BALLS|756.13|2463.29
2110659|NGK|648.00|1370.67
2110659|GMAX|91.67|2675.58
2110659|DAYCO|58.82|943.69
#2240525|JOE'S POWERSPORTS, INC|46465.40|54611.42
2240525|RST|11059.79|317.34
2240525|CARDO|7999.82|10925.43
2240525|SHINKO|3552.19|3053.96
2240525|DUNLOP|3285.28|5764.20
2240525|RIZOMA|3016.92|2023.82
2240525|PUIG|1665.44|1019.32
2240525|MICHELIN|1372.44|8185.04
2240525|SCORPION EXO|1368.52|6131.95
2240525|EVS|1298.85|1785.80
2240525|NEW RAGE CYCLES|1048.00|1169.41
2240525|BRIDGESTONE|892.54|399.66
2240525|ANTIGRAVITY|787.18|1460.49
2240525|YOSHIMURA|764.24|5027.62
2240525|D.I.D|686.02|0
2240525|SENA|652.80|0
2240525|FLY RACING|574.66|0
2240525|FIRE POWER|213.01|935.79
2240525|EBC|28.72|1037.68
2240525|ALPINESTARS|0|962.92
2240525|TBR|0|1193.46
#2120236|SUZUKI OF CAROL STREAM INC|42996.62|41099.43
2120236|YOSHIMURA|12174.80|1876.52
2120236|MICHELIN|5630.30|3482.11
2120236|YUASA|3125.11|3678.86
2120236|SHOGUN|2240.68|1132.31
2120236|DUNLOP|2216.64|2474.10
2120236|SHINKO|1916.13|4038.01
2120236|FIRE POWER|1667.38|2512.17
2120236|EBC|1469.58|2021.36
2120236|PSR|1104.61|1970.88
2120236|RIZOMA|1001.97|0
2120236|MOTUL|604.92|1431.60
2120236|RED BULL|530.34|1119.04
2120236|EK|354.78|1105.87
2120236|GMAX|124.99|2790.22
2120236|TBR|0|549.99
2120236|GIVI|0|530.49
#2101110|TOOL STORE GO-KART SHOP|44875.29|48804.17
2101110|FIRE POWER|21892.61|22133.48
2101110|SEDONA|2589.08|2623.23
2101110|YUASA|2046.92|1128.26
2101110|NGK|2000.18|1414.08
2101110|BEL-RAY|1520.64|1888.50
2101110|CYLINDER WORKS|1220.81|400.37
2101110|EMGO|1124.93|1249.71
2101110|FLY RACING|1098.78|2976.62
2101110|IRC|993.36|397.45
2101110|ALL BALLS|956.48|1739.21
2101110|KFI|479.82|2825.61
#2150789|CYCLES R US|32677.61|32765.23
2150789|SHINKO|5980.31|2772.65
2150789|ALPINESTARS|3610.42|1523.33
2150789|POD|1658.96|39.98
2150789|PROX|1444.38|1577.97
2150789|DUNLOP|1417.80|2208.20
2150789|FLY RACING|1395.24|349.04
2150789|XTRIG|1196.98|597.99
2150789|ODI|1012.51|745.97
2150789|FIRE POWER|972.64|1313.25
2150789|BRONCO|877.38|60.74
2150789|COMETIC|738.89|146.92
2150789|NAMURA|672.26|3445.38
2150789|REKLUSE RACING|584.26|0
2150789|VERTEX|583.06|2027.34
2150789|RACE TECH|524.95|0
2150789|EBC|359.56|875.04
2150789|WISECO|283.92|2045.12
2150789|RICKS|54.00|719.72
2150789|HOT CAMS|35.07|1038.61
2150789|CYLINDER WORKS|0|592.04
#2140115|LOVES PARK MOTORSPORTS|31408.69|29927.50
2140115|BFGOODRICH|6946.64|1494.32
2140115|WOODYS|3358.06|3831.77
2140115|SEDONA|3258.52|53.43
2140115|STUD BOY|3257.27|5851.59
2140115|CAMSO|1821.00|0
2140115|STRAIGHTLINE|1358.22|744.21
2140115|C&A|1014.80|845.72
2140115|SP1|966.69|1646.28
2140115|SENA|449.13|2676.36
2140115|AWC|296.31|1152.46
2140115|KLOTZ|170.64|819.40
2140115|MBRP|0|742.43
2140115|CALIBER|0|1862.87
2140115|OXBOW GEAR LLC|0|1596.58
#2171119|D & W CYCLE SPECIALTIES|30655.11|46775.91
2171119|ALPINESTARS|3562.72|2764.27
2171119|DUNLOP|3091.72|9725.18
2171119|IRC|1739.97|425.65
2171119|SKF|1739.49|4384.04
2171119|MICHELIN|1695.83|265.18
2171119|MAXIMA|1421.54|950.24
2171119|NUETECH|1392.30|1194.37
2171119|PROX|1002.62|753.47
